Component,Name,Version,
"mgmt-tssa;OpenSSH;7.4p1"
"mgmt-tssa;OpenSSL;1.0.2"
"mgmt-tssa;ThinLinc;4.14.0"
"mgmt-wiki;Apache;2.4.6"
"mgmt-wiki;Apache Tomcat;8.5.78"
"mgmt-wiki;Filebeat;8.3.3 "
"mgmt-wiki;F-Secure Linux Security;12.0.35"
"mgmt-wiki;linuxconfig;1.2.3"
"mgmt-wiki;Linux kernel;3.10.0-1160.76.1.el7.x86_64"
"mgmt-wiki;OpenSSH;7.4p1"
"mgmt-wiki;OpenSSL;1.0.2"
"mgmt-wiki;PostgreSQL;13.8"
"mgmt-wiki;XWiki;13.10.8"
"mgmt-wsinstall;Miradore;5.6.0  "
"mgmt-wsinstall;Miradore Client;3.5.10 "
"proxy-dns-ns;bindconfig;1.1.4"
"proxy-dns-ns;linuxconfig;1.2.3"
"proxy-dns-r;bindconfig;1.1.4"
"proxy-dns-r;linuxconfig;1.2.3"
"proxy-geo;Docker;19.03.8"
"proxy-idp;linuxconfig;1.2.3"
"proxy-openvas;Docker;1.13.1"
"proxy-openvas;Filebeat;8.4.2 "
"proxy-openvas;F-Secure Linux Security;12.0.40"
"proxy-openvas;Greenbone Vulnerability Manager;21.4.5"
"proxy-openvas;GV Manager rev;242"
"proxy-openvas;gvm-libs;21.4.4"
"proxy-openvas;linuxconfig;1.2.3"
"proxy-openvas;Linux kernel;3.10.0-1160.76.1.el7.x86_64"
"proxy-openvas;NGINX;1.20.1"
"proxy-openvas;OpenSSH;7.4p1"
"proxy-openvas;OpenSSL;1.0.2"
"proxy-openvas;OpenVAS;21.4.4"
